"subj","Session_name","seq","item","cond","sentence","question","correct","RT_question","whole_sentence_readingtime","List","actual_seq","ffdR1","ffdR2","ffdR3","ffdR4","ffdR5","ffdR6","ffdR7","ffdR8","ffdR9","ffdR10","ffdR11","ffdR12","ffdR13","ffdR14","ffdR15","ffdR16","ffdR17","ffdR18","ffdR19","ffdR20","ffdR21","ffdR22","ffdR23","ffdR24","ffdR25","gzR1","gzR2","gzR3","gzR4","gzR5","gzR6","gzR7","gzR8","gzR9","gzR10","gzR11","gzR12","gzR13","gzR14","gzR15","gzR16","gzR17","gzR18","gzR19","gzR20","gzR21","gzR22","gzR23","gzR24","gzR25","ttR1","ttR2","ttR3","ttR4","ttR5","ttR6","ttR7","ttR8","ttR9","ttR10","ttR11","ttR12","ttR13","ttR14","ttR15","ttR16","ttR17","ttR18","ttR19","ttR20","ttR21","ttR22","ttR23","ttR24","ttR25","reginR1","reginR2","reginR3","reginR4","reginR5","reginR6","reginR7","reginR8","reginR9","reginR10","reginR11","reginR12","reginR13","reginR14","reginR15","reginR16","reginR17","reginR18","reginR19","reginR20","reginR21","reginR22","reginR23","reginR24","reginR25","regoutR1","regoutR2","regoutR3","regoutR4","regoutR5","regoutR6","regoutR7","regoutR8","regoutR9","regoutR10","regoutR11","regoutR12","regoutR13","regoutR14","regoutR15","regoutR16","regoutR17","regoutR18","regoutR19","regoutR20","regoutR21","regoutR22","regoutR23","regoutR24","regoutR25"
4,"A_M001",92,10,"UNAGREE","After the worst team loses, the tournaments remains essentially the same for the rest of the year.","Does the loss of the worst team matter to the tournaments?",1,2258.29,8946.28,"a",92,NA,200,NA,377,641,NA,201,149,164,NA,229,NA,NA,227,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,0,200,0,377,641,0,201,297,582,0,229,0,0,227,0,0,114,0,0,0,0,0,0,0,0,0,200,126,583,793,156,1647,1398,1214,161,229,312,143,227,0,0,114,0,0,0,0,0,0,0,0,NA,NA,1,1,1,1,1,0,1,1,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,1,1,0,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",10,11,"MVRR_AMB","The recent hire offered the job prepared many students for careers in media.","Did the new hire offer the job to someone?",0,2871.95,9860.62,"a",10,NA,NA,NA,121,171,NA,226,NA,240,NA,NA,470,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,121,171,0,541,0,516,0,0,470,202,0,0,0,0,0,0,0,0,0,0,0,0,0,819,313,1185,388,193,1330,383,1395,231,620,905,478,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,0,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",13,12,"NPS_UAMB","The assistant manager discovered that the training seemed unnecessarily demanding for new staff.","Was the training difficult?",1,1612.07,7279.68,"a",13,NA,NA,125,395,NA,NA,186,247,211,322,NA,NA,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,125,395,0,0,186,593,327,322,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,242,656,692,0,131,440,1167,536,322,123,0,447,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,NA,1,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",46,13,"NPZ_AMB","Although the mayor changed the document provided sufficient evidence for what he had promised.","Did the mayor change the document?",0,1598.04,19930.78,"a",46,206,NA,NA,101,NA,398,396,231,261,146,363,NA,NA,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,0,0,101,0,398,396,394,261,146,363,0,0,586,0,0,0,0,0,0,0,0,0,0,0,466,0,1464,2141,1138,899,3300,3557,2376,522,363,292,0,851,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,0,1,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,0,0,0,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",70,14,"NPZ_AMB","After the basketball player signed the contract created another controversy in the NBA.","Were there already controversies in the NBA?",1,1451.69,8641.46,"a",70,NA,NA,125,232,NA,NA,235,305,523,242,268,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,125,232,0,0,235,597,523,242,268,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,524,379,232,317,153,996,986,737,1612,268,414,0,572,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,1,1,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",66,15,"MVRR_AMB","The engineer brought the equipment required constant supervision from senior technicians.","Did the engineer bring the equipment to someone?",0,3587.08,6698.4,"a",66,NA,230,170,NA,252,362,179,337,NA,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,489,452,0,252,362,179,337,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,956,162,810,995,539,775,0,212,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,1,1,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",84,16,"UNAGREE","Unless the dog attacks, the cats remains relatively tranquil throughout the day.","Do the cats usually remain calm?",1,6165.81,5099.12,"a",84,330,NA,167,630,NA,351,311,399,219,410,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,0,167,630,0,351,499,900,219,410,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,565,806,0,351,499,900,219,410,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",88,17,"AGREE","Until the lead architect leaves, the project demands immense patience from the engineers.","Has the lead architect left?",1,1689.19,4752.79,"a",88,NA,NA,192,266,195,NA,195,338,173,273,NA,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,192,266,195,0,286,338,173,401,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,220,0,523,571,444,0,286,338,173,568,0,294,277,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,NA,0,0,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",86,19,"AGREE","Even if the mother calls, her boy continues causing problems with the other kids on the playground.","Does the boy behave himself after his mother calls?",1,2498.97,7733.18,"a",86,NA,270,NA,1052,NA,265,NA,146,206,239,NA,228,NA,399,NA,NA,358,NA,NA,NA,NA,NA,NA,NA,NA,0,270,0,1052,0,265,0,146,206,489,0,228,0,399,0,0,358,0,0,0,0,0,0,0,0,0,490,482,1568,232,265,382,653,952,489,0,228,0,399,0,0,358,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,1,1,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,1,1,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",72,20,"NPZ_AMB","Once the operator stopped the machine started working efficiently without any supervision.","Did the operator stop the machine?",1,2937.45,12894.8,"a",72,NA,276,NA,358,NA,236,297,212,441,187,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,276,0,358,0,236,297,458,1060,187,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,131,710,487,1129,409,962,538,1152,1739,2346,636,999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,0,1,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",94,21,"AGREE","Once the head surgeon begins, the operation achieves incredible results given the risks involved.","Is the operation successful?",1,1131.09,6518.52,"a",94,NA,257,NA,490,NA,NA,459,175,271,271,NA,NA,263,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,257,0,490,0,0,459,175,271,271,0,0,263,146,0,0,0,0,0,0,0,0,0,0,0,0,534,0,490,499,0,1022,437,704,656,322,0,263,146,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,0,1,NA,1,1,0,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,1,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",38,22,"NPS_UAMB","The contestant revealed that the money became unavailable to him when the show's budget shrank.","What did the contestant reveal?",1,2964.54,10129.6,"a",38,NA,157,206,205,NA,164,247,409,NA,NA,285,NA,199,243,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,345,206,205,0,164,247,563,0,0,285,0,199,243,340,0,0,0,0,0,0,0,0,0,0,0,768,1036,205,378,345,550,994,0,219,285,393,199,563,340,462,0,0,0,0,0,0,0,0,0,NA,1,1,0,1,1,1,0,NA,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,1,0,NA,NA,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",96,23,"AGREE","After the producer starts, the audition separates mediocre actors from talented ones.","Do some actors perform better than others at the auditions?",1,2407.68,4816.38,"a",96,NA,286,NA,340,NA,304,544,308,172,269,222,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,286,0,340,0,304,544,473,172,269,340,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,216,340,0,487,1004,767,172,269,340,264,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,NA,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",6,23,"NPS_AMB","The new chef claimed the restaurant separated mediocre cooks from gifted ones.","Did the chef join the restaurant recently?",1,3356.54,3850.46,"a",6,NA,NA,NA,152,167,164,338,504,154,224,332,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,152,167,290,338,504,154,224,332,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,642,167,290,338,504,154,224,332,105,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",36,24,"NPZ_AMB","When the apprentice baker worked the oven produced smaller cakes because he lacked experience.","Why were the cakes small?",1,4504.14,8830.42,"a",36,NA,NA,131,263,460,NA,NA,427,94,277,134,351,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,131,588,460,0,0,529,94,277,134,351,0,437,0,0,0,0,0,0,0,0,0,0,0,0,432,823,1105,1012,0,180,1469,757,277,525,351,0,437,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,1,NA,1,1,1,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,1,1,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",44,25,"RC_Subj","The bus driver who followed the kids wondered about the location of a hotel.","Who was being followed?",1,1488.49,7135.14,"a",44,NA,NA,234,NA,562,NA,NA,591,65,63,94,445,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,234,0,743,0,0,772,65,63,94,445,0,194,0,0,0,0,0,0,0,0,0,0,0,0,207,544,0,1117,195,257,1403,511,63,649,445,262,281,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,NA,1,1,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",41,26,"RC_Subj","The chef who distracted the cameraman poured the flour onto the counter.","Who was being distracted?",1,1788.64,4258.87,"a",41,NA,NA,NA,107,NA,493,NA,486,NA,205,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,107,0,493,0,486,0,205,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,864,0,701,274,486,0,205,267,318,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,1,NA,1,0,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",23,27,"RC_Obj","The children who the father woke bothered him about the trip to the beach.","Who was woken up?",0,1270,8866.7,"a",23,NA,170,NA,175,221,244,188,NA,282,143,NA,NA,160,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,379,0,175,221,244,334,0,282,143,0,0,160,249,0,0,0,0,0,0,0,0,0,0,0,0,379,367,175,731,1876,1066,370,810,143,254,320,160,456,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,1,NA,1,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",64,28,"RC_Obj","The class that the teacher disliked skimmed the reading for the week.","Who was disliked?",1,2241.13,5201.77,"a",64,NA,NA,NA,211,181,345,399,307,291,NA,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,211,181,345,399,307,291,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,154,745,818,648,399,307,291,125,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",18,38,"RC_Subj","The mathematician who visited the chairman created a solution to the wellknown problem.","Who created the solution?",1,1448.94,5042.63,"a",18,NA,142,198,299,332,326,390,NA,226,NA,130,323,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,390,198,299,332,478,390,0,423,0,130,323,250,0,0,0,0,0,0,0,0,0,0,0,0,0,390,198,299,332,478,390,0,423,0,266,1073,250,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",32,39,"RC_Obj","The monkeys that the zookeepers watched charged the bars of their cage.","Who charged the bars of the cage?",1,1732.06,6871.22,"a",32,NA,420,NA,91,233,NA,169,250,NA,270,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,778,0,91,233,0,169,250,0,270,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,507,866,982,174,169,250,0,270,263,359,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,1,0,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,1,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",78,40,"RC_Obj","The movie star who the organizers visited proposed an annual prize.","Who proposed a prize?",0,1753.45,8683.49,"a",78,NA,331,NA,NA,162,194,639,261,302,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,331,0,0,162,194,639,261,302,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,1001,403,985,1628,639,1052,553,249,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,1,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",76,49,"AttachMulti","In the lobby, Clyde bumped into the chauffeur of the CEO who is reckless and very unpopular with the company.","Where was Clyde?",1,1458.93,9262.48,"a",76,NA,NA,307,NA,220,NA,190,NA,187,NA,246,NA,178,110,NA,264,305,NA,372,320,NA,NA,NA,NA,NA,0,0,307,0,220,0,190,0,187,0,246,0,178,110,0,264,768,0,372,437,0,0,0,0,0,0,512,437,368,1555,0,455,241,187,488,246,0,178,951,0,577,768,0,372,437,0,0,0,0,0,NA,1,0,1,1,NA,0,1,0,1,0,NA,0,1,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,0,1,NA,1,1,NA,0,1,NA,NA,NA,NA,NA
