"subj","Session_name","seq","item","cond","sentence","question","correct","RT_question","whole_sentence_readingtime","List","actual_seq","ffdR1","ffdR2","ffdR3","ffdR4","ffdR5","ffdR6","ffdR7","ffdR8","ffdR9","ffdR10","ffdR11","ffdR12","ffdR13","ffdR14","ffdR15","ffdR16","ffdR17","ffdR18","ffdR19","ffdR20","ffdR21","ffdR22","ffdR23","ffdR24","ffdR25","gzR1","gzR2","gzR3","gzR4","gzR5","gzR6","gzR7","gzR8","gzR9","gzR10","gzR11","gzR12","gzR13","gzR14","gzR15","gzR16","gzR17","gzR18","gzR19","gzR20","gzR21","gzR22","gzR23","gzR24","gzR25","gpR1","gpR2","gpR3","gpR4","gpR5","gpR6","gpR7","gpR8","gpR9","gpR10","gpR11","gpR12","gpR13","gpR14","gpR15","gpR16","gpR17","gpR18","gpR19","gpR20","gpR21","gpR22","gpR23","gpR24","gpR25","ttR1","ttR2","ttR3","ttR4","ttR5","ttR6","ttR7","ttR8","ttR9","ttR10","ttR11","ttR12","ttR13","ttR14","ttR15","ttR16","ttR17","ttR18","ttR19","ttR20","ttR21","ttR22","ttR23","ttR24","ttR25","reginR1","reginR2","reginR3","reginR4","reginR5","reginR6","reginR7","reginR8","reginR9","reginR10","reginR11","reginR12","reginR13","reginR14","reginR15","reginR16","reginR17","reginR18","reginR19","reginR20","reginR21","reginR22","reginR23","reginR24","reginR25","regoutR1","regoutR2","regoutR3","regoutR4","regoutR5","regoutR6","regoutR7","regoutR8","regoutR9","regoutR10","regoutR11","regoutR12","regoutR13","regoutR14","regoutR15","regoutR16","regoutR17","regoutR18","regoutR19","regoutR20","regoutR21","regoutR22","regoutR23","regoutR24","regoutR25"
4,"A_M001",69,83,"FILLER1","These days, neuroscience is beginning to catch up to musicians who practice mentally.","Is neuroscience making progress in understanding how musicians can practice mentally?",1,2862.42,5754.5,"a",69,NA,NA,167,NA,145,NA,415,NA,NA,233,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,167,0,400,0,415,0,0,233,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,400,0,415,0,0,233,0,0,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,220,415,0,400,0,415,0,378,828,0,1361,686,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,NA,0,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",7,84,"FILLER1","Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet.","Why would the neighbors feel inferior?",1,2833.99,5842.87,"a",7,NA,308,NA,NA,215,217,NA,157,NA,182,NA,NA,218,NA,NA,240,NA,201,NA,164,NA,NA,NA,219,NA,0,533,0,0,215,217,0,157,0,182,0,0,218,0,0,240,0,201,0,164,0,0,0,219,0,0,533,0,0,505,217,0,782,0,667,0,0,969,0,0,439,0,409,0,164,0,0,0,352,0,0,533,290,0,215,217,270,512,230,667,0,198,541,0,199,240,208,201,0,164,0,133,0,219,0,NA,0,1,NA,0,0,1,0,1,1,NA,0,0,NA,1,0,1,0,NA,0,NA,1,NA,0,NA,NA,0,NA,NA,1,0,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,0,NA,NA,NA,1,NA
4,"A_M001",59,85,"FILLER1","Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests.","What do most people think about binge drinking?",1,3453.97,6448.66,"a",59,NA,139,171,NA,367,NA,NA,NA,216,209,202,NA,338,266,NA,NA,NA,179,303,NA,NA,NA,NA,NA,NA,0,472,171,0,702,0,0,0,216,209,202,0,338,266,0,0,0,179,303,0,0,0,0,0,0,0,472,504,0,702,0,0,0,947,209,202,0,338,266,0,0,0,417,1404,0,0,0,0,0,0,116,1306,171,0,960,0,190,186,571,209,202,0,338,266,0,0,464,179,303,0,0,0,0,0,0,1,1,0,NA,1,NA,1,1,0,0,0,NA,0,0,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,1,0,0,NA,0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
4,"A_M001",19,86,"FILLER1","When attacked, a skunk's natural inclination is to turn around, lick its tail and spray a noxious scent.","Are skunks inclined to face forward when attacked?",1,4785.44,4603.91,"a",19,NA,128,NA,255,335,431,NA,NA,196,NA,299,NA,170,NA,NA,294,384,NA,NA,NA,NA,NA,NA,NA,NA,0,416,0,255,335,705,0,0,456,0,299,0,170,0,0,294,384,0,0,0,0,0,0,0,0,0,416,0,255,335,705,0,0,456,0,299,0,495,0,0,294,573,0,0,0,0,0,0,0,0,0,416,0,255,335,705,0,0,456,0,299,238,257,0,0,483,384,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,NA,0,NA,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0,NA,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",39,87,"FILLER1","All that the brain has to work with are imperfect incoming electrical impulses announcing that things are happening.","Are electrical singals in our brain always correct?",1,2830.39,9716,"a",39,NA,NA,147,NA,170,640,NA,283,NA,407,265,184,304,414,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,0,0,147,0,170,640,0,283,0,644,265,184,304,414,0,0,0,76,0,0,0,0,0,0,0,0,0,351,0,539,640,0,581,0,644,2087,556,304,414,0,0,0,1658,0,0,0,0,0,0,0,0,537,840,331,554,640,466,307,362,1320,879,402,304,414,0,342,0,76,0,0,0,0,0,0,0,NA,1,1,1,1,0,1,0,1,1,1,0,0,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,1,NA,0,1,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",43,88,"FILLER1","There often seems to be more diving in soccer than in the Summer Olympics.","Do people frequently dive in soccer?",1,1821,6480.79,"a",43,NA,NA,174,229,178,342,273,NA,325,NA,NA,NA,197,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,174,229,178,662,273,0,325,0,0,0,197,310,0,0,0,0,0,0,0,0,0,0,0,0,0,620,440,178,662,1491,0,959,0,0,0,197,922,0,0,0,0,0,0,0,0,0,0,0,210,467,385,229,619,1169,724,172,606,0,381,0,197,310,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",24,89,"FILLER1","Susan B. Anthony spent nearly sixty years of her life devoted to the cause of social justice and equality for all.","How would one describe Susan?",1,2532,11292.08,"a",24,NA,NA,339,247,234,NA,162,NA,712,254,NA,173,NA,371,NA,257,293,NA,244,NA,125,NA,NA,NA,NA,0,0,339,247,234,0,162,0,712,254,0,173,0,371,0,257,293,0,244,0,125,0,0,0,0,0,0,549,247,368,0,338,0,712,254,0,446,0,501,0,751,293,0,244,0,4829,0,0,0,0,210,0,551,599,1177,358,162,240,1136,628,893,173,130,985,196,774,464,125,244,241,246,0,0,0,0,1,NA,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,1,NA,1,NA,0,0,NA,1,NA,1,NA,1,0,NA,0,NA,1,NA,NA,NA,NA
4,"A_M001",50,90,"FILLER1","Unfortunately, for every six water bottles we use, only one makes it to the recycling bin.","What is the average recycling rate?",1,4423.14,3481.99,"a",50,313,NA,NA,186,NA,284,166,NA,244,NA,202,NA,163,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,0,0,186,0,284,166,0,244,0,202,0,163,0,367,0,0,0,0,0,0,0,0,0,0,313,0,0,340,0,877,166,0,244,0,202,0,163,0,455,0,0,0,0,0,0,0,0,0,0,313,0,406,186,341,284,166,0,244,0,202,0,163,88,367,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,1,0,0,NA,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,1,0,NA,0,NA,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",67,91,"FILLER1","As in the United States, Colombian legislation requires travelers entering the country to declare cash in excess of ten thousand dollars.","As you enter Colombia, do you need to declare cash in excess of fifteen thousand dollars?",1,5563.97,8252.42,"a",67,NA,NA,NA,NA,152,242,35,292,171,186,139,293,NA,NA,213,NA,234,NA,NA,245,471,NA,NA,NA,NA,0,0,0,0,152,242,511,292,607,186,139,293,0,0,213,0,234,0,0,245,471,0,0,0,0,0,0,0,0,381,618,700,1122,607,571,458,293,0,0,422,0,839,0,0,245,659,0,0,0,0,0,217,388,285,152,431,687,661,828,669,139,293,0,209,213,252,587,0,0,433,471,0,0,0,0,NA,1,1,1,NA,1,0,0,1,1,0,0,NA,1,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,0,NA,NA,1,NA,1,NA,NA,0,1,NA,NA,NA,NA
4,"A_M001",73,92,"FILLER1","Stress is a risk factor for both depression and anxiety, he says.","Is stress a risk factor for depression, but not anxiety?",1,3896.97,3897.68,"a",73,NA,NA,429,NA,131,201,318,244,NA,169,189,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,429,0,131,201,318,244,0,169,189,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,551,382,318,244,0,169,189,660,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,429,420,312,201,318,244,0,169,189,660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,1,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",65,93,"FILLER1","When it comes to having a lasting and fulfilling relationship, common wisdom says that feeling close to your romantic partner is paramount.","Does common wisdom emphasize a healthy distance to maintain a lasting relationship?",1,3724.21,7369.7,"a",65,NA,NA,359,NA,NA,188,162,NA,180,223,NA,163,NA,216,208,NA,232,NA,238,NA,161,540,243,NA,NA,0,0,359,0,0,188,162,0,180,412,0,501,0,216,208,0,232,0,503,0,161,540,243,0,0,0,0,359,0,0,706,162,0,427,412,0,501,0,441,421,0,465,0,503,0,161,1402,243,0,0,0,0,590,0,287,188,647,0,482,607,0,501,352,429,208,233,232,0,503,0,161,540,243,0,0,NA,NA,1,NA,1,0,1,NA,1,0,NA,0,1,1,0,1,0,NA,0,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,1,0,NA,1,0,NA,0,NA,1,1,NA,1,NA,0,NA,0,1,NA,NA,NA
4,"A_M001",33,94,"FILLER1","Voltaire himself probably won around half a million livres, a large fortune, which he then made even larger.","Was half a million livres considered a significant amount of money?",1,3460.41,12340.57,"a",33,NA,119,387,453,NA,312,NA,NA,357,NA,NA,379,NA,NA,NA,276,294,NA,NA,NA,NA,NA,NA,NA,NA,0,119,387,453,0,312,0,0,357,0,0,524,0,0,0,276,294,0,0,0,0,0,0,0,0,0,1511,387,453,0,312,0,0,669,0,0,524,0,0,0,752,4783,0,0,0,0,0,0,0,0,1203,1505,774,453,254,624,0,462,1166,0,0,970,0,199,795,496,490,0,0,0,0,0,0,0,0,1,1,1,0,1,1,NA,1,1,NA,NA,1,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",37,95,"FILLER1","When preparing to check out of their hotel room, some frequent travelers pile up their used bath towels on the bathroom floor.","Do frequent travellers sometimes pile clean bath towels on the bathroom floor before checking out of a hotel?",1,4617.68,5617.22,"a",37,NA,NA,NA,205,NA,NA,153,NA,578,NA,402,466,NA,474,NA,390,NA,290,NA,NA,NA,NA,NA,NA,NA,0,0,0,205,0,0,153,0,578,0,402,466,0,474,0,390,0,290,0,0,0,0,0,0,0,0,0,0,773,0,0,372,0,578,0,402,466,0,474,0,562,0,290,0,0,0,0,0,0,0,0,258,310,205,219,0,153,0,578,0,402,466,0,474,172,390,0,290,0,0,0,0,0,0,0,NA,1,0,NA,1,NA,0,NA,0,NA,0,0,NA,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,0,NA,0,0,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",75,96,"FILLER1","Research showing that a tiny European river bug called the water boatman may be the loudest animal on earth has some interesting sidebars.","What makes water boatman distinctive?",1,2770.06,14977.97,"a",75,NA,267,NA,NA,123,321,NA,392,200,NA,192,228,NA,NA,206,220,NA,NA,356,NA,NA,226,322,130,NA,0,267,0,0,123,321,0,392,384,0,192,552,0,0,206,220,0,0,356,0,0,226,322,130,0,0,1289,0,0,1262,421,0,392,384,0,853,552,0,0,485,856,0,0,3185,0,0,226,3201,130,0,929,1305,711,0,705,321,0,392,777,268,276,552,528,432,1197,424,0,237,625,1361,619,596,851,130,0,1,1,1,NA,1,0,NA,0,1,0,0,0,1,1,1,0,NA,1,0,1,1,1,0,0,NA,NA,1,NA,NA,1,1,NA,0,0,NA,1,0,NA,NA,1,1,NA,NA,1,NA,NA,0,1,NA,NA
4,"A_M001",48,97,"FILLER1","When the new world was first discovered it was found to be, like the old, well stocked with plants and animals.","Was the old world well stocked with plants and animals?",1,2265.97,8847.2,"a",48,NA,NA,NA,408,NA,NA,272,186,NA,NA,232,NA,176,NA,285,NA,293,295,363,NA,264,NA,NA,NA,NA,0,0,0,408,0,0,272,186,0,0,232,0,176,0,285,0,293,295,363,0,264,0,0,0,0,0,0,0,408,0,0,1035,186,0,0,453,0,176,0,457,0,293,807,363,0,2993,0,0,0,0,0,184,0,408,118,231,787,186,0,516,232,181,417,442,458,412,534,1108,494,0,463,0,0,0,0,NA,1,NA,NA,1,1,1,0,NA,1,0,0,1,1,1,1,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,1,NA,0,NA,1,NA,0,1,0,NA,1,NA,NA,NA,NA
4,"A_M001",11,98,"FILLER1","Police in Georgia have shut down a lemonade stand run by three girls trying to save up for a trip to a water park.","What was sold at the stand that was shut-down?",1,2810.05,6536.78,"a",11,NA,NA,192,269,NA,129,NA,220,187,216,NA,146,295,295,180,NA,275,NA,NA,NA,179,NA,NA,273,NA,0,0,192,269,0,129,0,220,187,216,0,146,295,295,180,0,275,0,0,0,179,0,0,273,0,0,0,554,269,0,374,0,552,794,216,0,875,295,295,180,0,275,0,0,0,436,0,0,273,0,362,0,192,269,245,129,332,468,546,216,410,465,295,295,180,0,275,0,257,0,179,0,0,273,0,1,NA,NA,0,1,0,1,1,0,0,1,0,0,0,0,NA,0,NA,1,NA,0,NA,NA,0,NA,NA,NA,1,0,NA,1,NA,1,1,0,NA,1,0,0,0,NA,0,NA,NA,NA,1,NA,NA,0,NA
4,"A_M001",27,99,"FILLER1","An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake.","When in the process should we determine whether microbes were introduced?",1,5047.28,12654.56,"a",27,NA,NA,NA,125,163,432,NA,166,NA,177,220,NA,NA,191,NA,354,NA,396,NA,NA,NA,NA,NA,NA,NA,0,0,0,125,163,432,0,166,0,177,220,0,0,191,0,613,0,396,0,0,0,0,0,0,0,0,0,0,1019,953,432,0,1681,0,177,1085,0,0,668,0,613,0,3502,0,0,0,0,0,0,0,218,1449,444,825,163,1183,882,434,321,778,987,0,207,1100,0,743,0,396,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,NA,1,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,NA,0,1,NA,NA,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA
4,"A_M001",31,100,"FILLER1","Lady Gaga's YouTube account was suspended Thursday.","What account was suspended on Thursday?",1,1644.15,2755.6,"a",31,NA,NA,172,301,NA,269,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,172,301,0,269,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,301,0,269,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,172,568,216,435,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
